,0
open,float64
high,float64
low,float64
close,float64
volume,float64
fg_value,float64
fg_value_classification,object
ABER_ZG_5_15,float64
ABER_SG_5_15,float64
ABER_XG_5_15,float64
ABER_ATR_5_15,float64
ACCBL_20,float64
ACCBM_20,float64
ACCBU_20,float64
AD,float64
ADOSC_3_10,float64
ADX_14,float64
ADXR_14_2,float64
DMP_14,float64
DMN_14,float64
AGj_13_8_5,float64
AGt_13_8_5,float64
AGl_13_8_5,float64
ALMA_9_6.0_0.85,float64
ALPHAT_14_1_50,float64
ALPHATl_14_1_50_2,float64
AMATe_LR_8_21_2,int64
AMATe_SR_8_21_2,int64
AO_5_34,float64
OBV,float64
OBV_min_2,float64
OBV_max_2,float64
OBVe_4,float64
OBVe_12,float64
AOBV_LR_2,int64
AOBV_SR_2,int64
APO_12_26,float64
AROOND_14,float64
AROONU_14,float64
AROONOSC_14,float64
ATRr_14,float64
ATRTSe_14_20_3.0,float64
BBL_5_2.0,float64
BBM_5_2.0,float64
BBU_5_2.0,float64
BBB_5_2.0,float64
BBP_5_2.0,float64
BIAS_SMA_26,float64
BOP,float64
AR_26,float64
BR_26,float64
CCI_14_0.015,float64
CDL_2CROWS,float64
CDL_3BLACKCROWS,float64
CDL_3INSIDE,float64
CDL_3LINESTRIKE,float64
CDL_3OUTSIDE,float64
CDL_3STARSINSOUTH,float64
CDL_3WHITESOLDIERS,float64
CDL_ABANDONEDBABY,float64
CDL_ADVANCEBLOCK,float64
CDL_BELTHOLD,float64
CDL_BREAKAWAY,float64
CDL_CLOSINGMARUBOZU,float64
CDL_CONCEALBABYSWALL,float64
CDL_COUNTERATTACK,float64
CDL_DARKCLOUDCOVER,float64
CDL_DOJI_10_0.1,float64
CDL_DOJISTAR,float64
CDL_DRAGONFLYDOJI,float64
CDL_ENGULFING,float64
CDL_EVENINGDOJISTAR,float64
CDL_EVENINGSTAR,float64
CDL_GAPSIDESIDEWHITE,float64
CDL_GRAVESTONEDOJI,float64
CDL_HAMMER,float64
CDL_HANGINGMAN,float64
CDL_HARAMI,float64
CDL_HARAMICROSS,float64
CDL_HIGHWAVE,float64
CDL_HIKKAKE,float64
CDL_HIKKAKEMOD,float64
CDL_HOMINGPIGEON,float64
CDL_IDENTICAL3CROWS,float64
CDL_INNECK,float64
CDL_INSIDE,float64
CDL_INVERTEDHAMMER,float64
CDL_KICKING,float64
CDL_KICKINGBYLENGTH,float64
CDL_LADDERBOTTOM,float64
CDL_LONGLEGGEDDOJI,float64
CDL_LONGLINE,float64
CDL_MARUBOZU,float64
CDL_MATCHINGLOW,float64
CDL_MATHOLD,float64
CDL_MORNINGDOJISTAR,float64
CDL_MORNINGSTAR,float64
CDL_ONNECK,float64
CDL_PIERCING,float64
CDL_RICKSHAWMAN,float64
CDL_RISEFALL3METHODS,float64
CDL_SEPARATINGLINES,float64
CDL_SHOOTINGSTAR,float64
CDL_SHORTLINE,float64
CDL_SPINNINGTOP,float64
CDL_STALLEDPATTERN,float64
CDL_STICKSANDWICH,float64
CDL_TAKURI,float64
CDL_TASUKIGAP,float64
CDL_THRUSTING,float64
CDL_TRISTAR,float64
CDL_UNIQUE3RIVER,float64
CDL_UPSIDEGAP2CROWS,float64
CDL_XSIDEGAP3METHODS,float64
open_Z_30_1,float64
high_Z_30_1,float64
low_Z_30_1,float64
close_Z_30_1,float64
CFO_9,float64
CG_10,float64
CHDLREXTl_22_22_14_2.0,float64
CHDLREXTs_22_22_14_2.0,float64
CHDLREXTd_22_22_14_2.0,float64
CHOP_14_1_100.0,float64
CKSPl_10_3_20,float64
CKSPs_10_3_20,float64
CMF_20,float64
CMO_14,float64
COPC_11_14_10,float64
CRSI_3_2_100,float64
CTI_12,float64
CUBE_3.0_-1,float64
CUBEs_3.0_-1,float64
LDECAY_1,float64
DEC_1,int64
DEMA_10,float64
DCL_20_20,float64
DCM_20_20,float64
DCU_20_20,float64
DPO_20,float64
EBSW_40_10,float64
EFI_13,float64
EMA_10,float64
ENTP_10,float64
ER_10,float64
BULLP_13,float64
BEARP_13,float64
FISHERT_9_1,float64
FISHERTs_9_1,float64
FWMA_10,float64
HA_open,float64
HA_high,float64
HA_low,float64
HA_close,float64
HILO_13_21,float64
HL2,float64
HLC3,float64
HMA_10,float64
HWM_1,float64
HWU_1,float64
HWL_1,float64
HWMA_0.2_0.1_0.1,float64
ISA_9,float64
ISB_26,float64
ITS_9,float64
IKS_26,float64
ICS_26,float64
INVFISHER_1.0,float64
INVFISHERs_1.0,float64
INC_1,int64
INERTIA_20_14,float64
JMA_7_0.0,float64
KAMA_10_2_30,float64
KCLe_20_2,float64
KCBe_20_2,float64
KCUe_20_2,float64
K_9_3,float64
D_9_3,float64
J_9_3,float64
KST_10_15_20_30_10_10_10_15,float64
KSTs_9,float64
KURT_30,float64
KVO_34_55_13,float64
KVOs_34_55_13,float64
LINREG_14,float64
LOGRET_1,float64
MACD_12_26_9,float64
MACDh_12_26_9,float64
MACDs_12_26_9,float64
MAD_30,float64
MAMA_0.5_0.05,float64
FAMA_0.5_0.05,float64
MASSI_9_25,float64
MCGD_10,float64
MEDIAN_30,float64
MFI_14,float64
MIDPOINT_2,float64
MIDPRICE_2,float64
MOM_10,float64
NATR_14,float64
NVI_1,float64
OHLC4,float64
PDIST,float64
PCTRET_1,float64
PGO_14,float64
PIVOTS_TRAD_D_P,float64
PIVOTS_TRAD_D_S1,float64
PIVOTS_TRAD_D_S2,float64
PIVOTS_TRAD_D_S3,float64
PIVOTS_TRAD_D_S4,float64
PIVOTS_TRAD_D_R1,float64
PIVOTS_TRAD_D_R2,float64
PIVOTS_TRAD_D_R3,float64
PIVOTS_TRAD_D_R4,float64
PPO_12_26_9,float64
PPOh_12_26_9,float64
PPOs_12_26_9,float64
PSARaf_0.02_0.2,float64
PSARr_0.02_0.2,int64
PSL_12,float64
PVI_1,float64
PVO_12_26_9,float64
PVOh_12_26_9,float64
PVOs_12_26_9,float64
PVOL,float64
PVR,float64
PVT,float64
PWMA_10,float64
QQE_14_5_4.236,float64
QQE_14_5_4.236_RSIMA,float64
QS_10,float64
QTL_30_0.5,float64
REFLEX_20_20_0.04,float64
REMAP_0.0_100.0_-1.0_1.0,float64
RMA_10,float64
ROC_10,float64
RSI_14,float64
RSX_14,float64
RVGI_14_4,float64
RVGIs_14_4,float64
RVI_14,float64
RWIh_14,float64
RWIl_14,float64
SINWMA_14,float64
SKEW_30,float64
SLOPE_1,float64
SMA_10,float64
SMI_5_20_5_1.0,float64
SMIs_5_20_5_1.0,float64
SMIo_5_20_5_1.0,float64
SMMA_7,float64
SQZ_20_2.0_20_1.5,float64
SQZ_ON,int64
SQZ_OFF,int64
SQZ_NO,int64
SQZPRO_20_2.0_20_2.0_1.5_1.0,float64
SQZPRO_ON_WIDE,int64
SQZPRO_ON_NORMAL,int64
SQZPRO_ON_NARROW,int64
SQZPRO_OFF,int64
SQZPRO_NO,int64
SSF_20,float64
SSF3_20,float64
STC_10_12_26_0.5,float64
STCmacd_10_12_26_0.5,float64
STCstoch_10_12_26_0.5,float64
STDEV_30,float64
STOCHk_14_3_3,float64
STOCHd_14_3_3,float64
STOCHh_14_3_3,float64
STOCHFk_14_3,float64
STOCHFd_14_3,float64
STOCHRSIk_14_14_3_3,float64
STOCHRSId_14_14_3_3,float64
SUPERT_7_3.0,float64
SUPERTd_7_3.0,float64
SWMA_10,float64
T3_10_0.7,float64
TEMA_10,float64
THERMO_20_2_0.5,float64
THERMOma_20_2_0.5,float64
THERMOl_20_2_0.5,int64
THERMOs_20_2_0.5,int64
TMO_14_5_3,float64
TMOs_14_5_3,float64
TMOM_14_5_3,float64
TMOMs_14_5_3,float64
TOS_STDEVALL_LR,float64
TOS_STDEVALL_L_1,float64
TOS_STDEVALL_U_1,float64
TOS_STDEVALL_L_2,float64
TOS_STDEVALL_U_2,float64
TOS_STDEVALL_L_3,float64
TOS_STDEVALL_U_3,float64
TRENDFLEX_20_20_0.04,float64
TRIMA_10,float64
TRIX_30_9,float64
TRIXs_30_9,float64
TRUERANGE_1,float64
TSI_13_25_13,float64
TSIs_13_25_13,float64
TTM_TRND_6,int64
UI_14,float64
UO_7_14_28,float64
VAR_30,float64
VHF_28,float64
VHM_610,float64
VIDYA_14,float64
VTXP_14,float64
VTXM_14,float64
VWAP_D,float64
VWMA_10,float64
TSV_18_10,float64
TSVs_18_10,float64
TSVr_18_10,float64
WCP,float64
WILLR_14,float64
WMA_10,float64
ZL_EMA_10,float64
ZS_30,float64
hour,int32
day_of_week,int32
month,int32
label,int64
